input,institution,country,alpha2,settlement,locality,lat,lon,wd_label,wd_url
"Department of Cellular Neurology, Hertie Institute for Clinical Brain Research, University of Tübingen, Tübingen, Germany",University of Tübingen,Germany,DE,Tübingen,Tübingen,48.52266,9.05222,University of Tübingen,http://www.wikidata.org/entity/Q153978
"Department of Botany, Banaras Hindu University, Varanasi, India",Banaras Hindu University,India,IN,Varanasi,Varanasi,25.31668,83.01041,Banaras Hindu University,http://www.wikidata.org/entity/Q806116
"Tongji Hospital, Tongji Medical College, Huazhong University of Science & Technology, Wuhan, Hubei, China",Tongji Hospital,China,CN,Wuhan,Wuhan,30.58333,114.26667,Huazhong University of Science and Technology,http://www.wikidata.org/entity/Q1711196
"Department of Dermatology, University of Colorado School of Medicine, Aurora, Colorado, United States of America",University of Colorado School of Medicine,United States,US,Aurora,Aurora,39.72943,-104.83192,University of Colorado School of Medicine,http://www.wikidata.org/entity/Q7895287
"Biomedical Research and Education Foundation of Southern Arizona, Tucson, Arizona, United States of America",Biomedical Research and Education Foundation of Southern Arizona,United States,US,Tucson,Tucson,32.22174,-110.92648,,
"Department of Microbial Pathogenesis, HZI - Helmholtz Centre for Infection Research, Inhoffenstraße 7, D-38124 Braunschweig, Germany",HZI - Helmholtz Centre for Infection Research,Germany,DE,Braunschweig,Braunschweig,52.26594,10.52673,,
"Division of Hematology, Department of Medicine, The Ohio State University, Columbus, OH USA ",The Ohio State University,United States,US,Columbus,Columbus,39.96118,-82.99879,Ohio State University,http://www.wikidata.org/entity/Q309331
"Istituto di Virologia Vegetale, (National Research Council) CNR, Torino, Italy",Istituto di Virologia Vegetale,Italy,IT,Torino,Turin,45.07049,7.68682,,
"Department of Computer Science and Centre for Systems and Synthetic Biology, Royal Holloway, University of London, Egham TW20 0EX, UK",University of London,United Kingdom,GB,Egham,Egham,51.43158,-0.55239,University of London,http://www.wikidata.org/entity/Q170027
"Department of Vanderbilt Ingram Cancer Center, Vanderbilt University Medical School, Nashville, TN, United States of America",Vanderbilt University Medical School,United States,US,Nashville,Nashville,36.16589,-86.78444,Vanderbilt University School of Medicine,http://www.wikidata.org/entity/Q7914466
"Clinic of Chest Diseases, Allergology and Radiology, Vilnius University, Vilnius, Lithuania",Vilnius University,Lithuania,LT,Vilnius,Vilnius,54.68916,25.2798,Vilnius University,http://www.wikidata.org/entity/Q658192
"National Cancer Institute 6116 Executive Blvd., Suite 504 Bethesda, MD 20892-8317, USA",National Cancer Institute 6116 Executive Blvd.,United States,US,Bethesda,Bethesda,38.98067,-77.10026,National Cancer Institute,http://www.wikidata.org/entity/Q664846
"Department of Biology, Johns Hopkins University, Baltimore, United States",Johns Hopkins University,United States,US,Baltimore,Baltimore,39.29038,-76.61219,Johns Hopkins University,http://www.wikidata.org/entity/Q193727
"Evans Department of Medicine and the Whitaker Cardiovascular Institute, Boston University School of Medicine, Boston, MA USA ",Boston University School of Medicine,United States,US,Boston,Boston,42.35843,-71.05977,Boston University School of Medicine,http://www.wikidata.org/entity/Q1142924
"Ashdown Consultants, Hartfield, UK",Ashdown Consultants,United Kingdom,GB,Hartfield,Hartfield,51.10236,0.11003,,
"Department of Biomedical Engineering, Faculty of Engineering, University of Malaya, 50603 Kuala Lumpur, Malaysia",University of Malaya,Malaysia,MY,Kuala Lumpur,Kuala Lumpur,3.1412,101.68653,University of Malaya,http://www.wikidata.org/entity/Q1142924
"School of Health and Medical Sciences, Örebro University, Örebro, Sweden",Örebro University,Sweden,SE,Örebro,Örebro,59.27412,15.2066,Örebro University,http://www.wikidata.org/entity/Q2002420
"Department of Parks and Wildlife, Wanneroo, Western Australia, Australia",Department of Parks and Wildlife,Australia,AU,Wanneroo,Wanneroo,-31.75,115.8,Department of Parks and Wildlife,http://www.wikidata.org/entity/Q21538546
"School of Chemistry and Chemical Engineering, Henan University of Technology, Zhengzhou 450052, People's Republic of China",Henan University of Technology,China,CN,Zhengzhou,Zhengzhou,34.75778,113.64861,Henan University of Technology,http://www.wikidata.org/entity/Q5712991
"Key Laboratory of Tropical Diseases and Translational Medicine of The Ministry of Education, Hainan Medical College, Haikou, 571199 China ",Hainan Medical College,China,CN,Haikou,Haikou,20.04583,110.34167,Hainan Medical College,http://www.wikidata.org/entity/Q5639372
"Department of Pediatrics, Stanford University, Palo Alto, CA, USA",Stanford University,United States,US,Palo Alto,Palo Alto,37.44188,-122.14302,Stanford University,http://www.wikidata.org/entity/Q41506
"Department of Neurological Sciences, Rush University Medical Center, Chicago, IL, USA",Rush University Medical Center,United States,US,Chicago,Chicago,41.85003,-87.65005,Rush University Medical Center,http://www.wikidata.org/entity/Q1535116
"Department of Chemical Engineering, Hanyang University, 222 Wangshimni-ro, Seongdong-gu, Seoul, 04763 Republic of Korea ",Hanyang University,South Korea,KR,Seoul,Seoul,37.566,126.9784,Hanyang University,http://www.wikidata.org/entity/Q40006
"Department of Pediatrics, University of Louisville, Louisville, KY USA ",University of Louisville,United States,US,Louisville,Louisville,38.25424,-85.75941,University of Louisville,http://www.wikidata.org/entity/Q1317143
"National Engineering Research Center for Nanotechnology, Shanghai 200241, People's Republic of China",National Engineering Research Center for Nanotechnology,China,CN,Shanghai,Shanghai,31.22222,121.45806,,
"Harvard Medical School, Boston, MA, United States of America",Harvard Medical School,United States,US,Boston,Boston,42.35843,-71.05977,Harvard Medical School,http://www.wikidata.org/entity/Q49121
"Gustave Roussy, F-94805, Villejuif, France",Gustave Roussy,France,FR,Villejuif,Villejuif,48.7939,2.35992,Institut Gustave Roussy,http://www.wikidata.org/entity/Q266227
