name,alias,country,region,lat,lon,isni
"1 Decembrie 1918 University, Alba Iulia",Universite 1 Decembrie 1918,Romania,Alba Iulia,46.069,23.5724,
A.S. Pushkin Brest State University,БрДУ імя А. С. Пушкіна; Брэсцкі дзяржаўны ўніверсітэт; Брэсцкі педагагічны інстытут; Берасьцейскі дзяржаўны ўнівэрсытэт; Берасьцейскі пэдагагічны інстытут; Берасьцейскі ўнівэрсытэт; Uniwersytet im. Puszkina w Brześciu nad Bugiem; Брестский государственный университет; Брестский государственный университет им. А. С. Пушкина; Брестский государственный университет им. А.С. Пушкина; Пинское педагогическое училище им. А. С. Пушкина; Берестейський державний університет; Берестейський державний університет ім. О.С. Пушкіна; Брестський державний університет,Belarus,Brest,52.137242,23.67234,
A.T. Still University,,United States of America,Arizona,33.3827,-111.704,
AAB University,,,,42.6394,21.1103,
AGH University of Science and Technology,AGH; AGH; AGH; AGH; AGH; AGH; AGH; AGH; AGH WTU; Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie; Akademie für Bergbau und Hüttenwesen Krakau; Berg- und Hüttenakademie Krakau; Academy of Mining and Metallurgy in Cracow; AGH UST; Académie des mines et de la métallurgie de Cracovie; AGH université des sciences et technologies; AGH Université des Sciences et Technologies; AGH UST; Université des sciences et technologies de Cracovie; Akademia Górniczo-Hutnicza im. Stanisława Staszica; Akademia Górniczo-Hutnicza; Akademia Górniczo-Hutnicza w Krakowie; Гірничо-металургійна академія ім. Станіслава Сташиця; AGH科技大學,Poland,,50.064527777778,19.92375,0000 0000 9174 1488
AKS University,,,,28.35,77.1,
AMA Computer University,AMA Computer University; Pamantasang Pangkomputadora ng AMA,Philippines,General Trias,14.66485,121.01323056,
AMA International University,جامعه أما الدوليه البحرين,Bahrain,,26.1859,50.518,
ANU Research School of Pacific and Asian Studies,,Australia,,-35.2818,149.12,
APIIT,,Malaysia,,3.04833333,101.6925,
ASA University Bangladesh,আশা ইউনিভার্সিটি; ASA University,,,23.7738,90.3663,
Aalborg Business College,,Denmark,Aalborg Municipality,57.0534,9.9098,
Aalborg University,,Denmark,Aalborg,57.015,9.985,
Aalborg University Copenhagen,,Denmark,,55.7309,12.397,
Aalborg University – Esbjerg,,Denmark,Esbjerg Municipality,55.4916,8.44733,
